id,title,organizational unit,date,iranTime
1,تغییر در درخواست,CU,2021-08-24,02/06/1400
2,جا به جایی انشعاب,CU,2021-08-24,02/06/1400
3,معافیت خرید مستقیم,CU,2021-08-24,02/06/1400
4,نصب انشعاب,CU,2021-08-24,02/06/1400
5,تغییر نام,CU,2021-08-24,02/06/1400
6,خطا در کد ملی,CU,2021-08-24,02/06/1400
7,درخواست,CU,2021-08-24,02/06/1400
8,خرید کنتور توسط متقاضی,CU,2021-08-24,02/06/1400
9,تعویض لوازم,CU,2021-08-24,02/06/1400
10,جا به جایی انشعاب,CU,2021-08-24,02/06/1400
11,خطای عدم وجود اطلاعات,CU,2021-08-24,02/06/1400
12,تغییر تلفن,CU,2021-08-25,03/06/1400
13,تغییرات قدرت درخواست,CU,2021-08-25,03/06/1400
14,عدم تغییر در پیمانکار,CU,2021-08-25,03/06/1400
27,موجودی ناحیه,CU,2021-08-28,06/06/1400
28,کمسیون طرح,CU,2021-08-28,06/06/1400
29,تایید خرید کنتور,CU,2021-08-28,06/06/1400
30,خطای افزایش,CU,2021-08-28,06/06/1400
31,تایید هزینه انشعاب,CU,2021-08-28,06/06/1400
32,فیش هزینه انشعاب,CU,2021-08-28,06/06/1400
33,خطای عدم وجود اطلاعات,CU,2021-08-28,06/06/1400
34,تغییر نام انشعاب,CU,2021-08-29,07/06/1400
35,ثبت,CU,2021-08-29,07/06/1400
36,توافق نامه,CU,2021-08-29,07/06/1400
37,جا به جایی انشعاب,CU,2021-08-29,07/06/1400
38,معافیت خرید مستقیم,CU,2021-08-29,07/06/1400
39,تایید خرید کنتور,CU,2021-08-29,07/06/1400
40,نصب درخواست,CU,2021-08-29,07/06/1400
41,موجودی ناحیه,CU,2021-08-29,07/06/1400
42,درخواست تغییر نام انشعاب درخواستی,CU,2021-08-30,08/06/1400
43,جابه جایی کنتور,CU,2021-08-30,08/06/1400
44,تغییر در درخواست,CU,2021-08-30,08/06/1400
45,خطای کد ملی,CU,2021-08-30,08/06/1400
46,تایید خرید,CU,2021-08-30,08/06/1400
47,متقاضی تعهد شرکت,CU,2021-08-30,08/06/1400
48,نصب کنتور,CU,2021-08-30,08/06/1400
49,جمع آوری هزینه انشعاب,CU,2021-08-31,09/06/1400
50,درخواست کابل,CU,2021-08-31,09/06/1400
51,تغییر نماینده,CU,2021-08-31,09/06/1400
52,ثبت نماینده,CU,2021-08-31,09/06/1400
53,عدم امکان ارسال به نصب,CU,2021-08-31,09/06/1400
