1,Change in request,تغییر در درخواست,8/24/2021,02/06/1400
2,Branching somewhere,جا به جایی انشعاب,8/24/2021,02/06/1400
3,Direct purchase exemption,معافیت خرید مستقیم,8/24/2021,02/06/1400
4,Branch installation,نصب انشعاب,8/24/2021,02/06/1400
5,name change,تغییر نام,8/24/2021,02/06/1400
6,applying for,درخواست,8/24/2021,02/06/1400
7,Purchase of the meter by the applicant,خرید کنتور توسط متقاضی,8/24/2021,02/06/1400
8,Replacement of equipment,تعویض لوازم,8/24/2021,02/06/1400
9,Branching somewhere,جا به جایی انشعاب,8/24/2021,02/06/1400
10,No information error,خطای عدم وجود اطلاعات,8/24/2021,02/06/1400
11,change phone,تغییر تلفن,8/25/2021,03/06/1400
12,Request power changes,تغییرات قدرت درخواست,8/25/2021,03/06/1400
13,No change in the contractor,عدم تغییر در پیمانکار,8/25/2021,03/06/1400
14,Inventory of the district,موجودی ناحیه,8/28/2021,06/06/1400
15,Design Commission,کمسیون طرح,8/28/2021,06/06/1400
16,Confirmation of meter purchase,تایید خرید کنتور,8/28/2021,06/06/1400
17,Increment error,خطای افزایش,8/28/2021,06/06/1400
18,Branch fee approval,تایید هزینه انشعاب,8/28/2021,06/06/1400
19,Branch fee slip,فیش هزینه انشعاب,8/28/2021,06/06/1400
20,No information error,خطای عدم وجود اطلاعات,8/28/2021,06/06/1400
21,Change the name of the branch,تغییر نام انشعاب,8/29/2021,07/06/1400
22,Record,ثبت,8/29/2021,07/06/1400
23,agreement,توافق نامه,8/29/2021,07/06/1400
24,Branching somewhere,جا به جایی انشعاب,8/29/2021,07/06/1400
25,Direct purchase exemption,معافیت خرید مستقیم,8/29/2021,07/06/1400
26,Confirmation of meter purchase,تایید خرید کنتور,8/29/2021,07/06/1400
27,Installation request,نصب درخواست,8/29/2021,07/06/1400
28,Inventory of the district,موجودی ناحیه,8/29/2021,07/06/1400
29,Request to change the requested branch name,درخواست تغییر نام انشعاب درخواستی,8/30/2021,08/06/1400
30,Moving the meter,جابه جایی کنتور,8/30/2021,08/06/1400
31,Change in request,تغییر در درخواست,8/30/2021,08/06/1400
32,Purchase confirmation,تایید خرید,8/30/2021,08/06/1400
33,Company commitment applicant,متقاضی تعهد شرکت,8/30/2021,08/06/1400
34,Meter installation,نصب کنتور,8/30/2021,08/06/1400
35,Branching fee collection,جمع آوری هزینه انشعاب,8/31/2021,09/06/1400
36,Cable request,درخواست کابل,8/31/2021,09/06/1400
37,Change of representative,تغییر نماینده,8/31/2021,09/06/1400
38,Representative registration,ثبت نماینده,8/31/2021,09/06/1400
39,Unable to send to installation,عدم امکان ارسال به نصب,8/31/2021,09/06/1400
40,Collect,جمع آوری,8/31/2021,09/06/1400
41,Installation submission error,خطای ارسال نصب,8/31/2021,09/06/1400
42,Counter payment return,بازگشت وجه کنتور,8/31/2021,09/06/1400
43,No change in the contractor,عدم تغییر در پیمانکار,9/1/2021,10/06/1400
44,It is not possible to change the request,عدم امکان تغییر درخواست,9/1/2021,10/06/1400
45,Meter fee return,بازگشت هزینه کنتور,9/1/2021,10/06/1400
46,Approval of meter exemption,تایید معافیت کنتور,9/1/2021,10/06/1400
47,Collect,جمع آوری,9/1/2021,10/06/1400
48,name change,تغییر نام,9/1/2021,10/06/1400
49,Purchase confirmation,تایید خرید,9/1/2021,10/06/1400
50, Collect,جمع آوری ,9/1/2021,10/06/1400
51,Purchased meter,کنتور خریداری شده,9/1/2021,10/06/1400
52,Confirmation of meter purchase,تایید خرید کنتور,9/1/2021,10/06/1400
53,Collect,جمع آوری,9/1/2021,10/06/1400
54,Branch fee approval,تایید هزینه انشعاب,9/1/2021,10/06/1400
55,Record error,خطای ثبت سابقه,9/4/2021,13/06/1400
56,Lack of meter inventory,عدم موجودی کنتور,9/4/2021,13/06/1400
57,Reduction of amperage,کاهش آمپراژ,9/4/2021,13/06/1400
